English,chinese
station,¯¸
acting,ºtÀ¸
accept,±µ¨ü
blow,¥´À»
strange,©_©Ç
saved,«O¦s
Ivy or ivy,±`¬KÃÃ©Î±`¬KÃÃ
conversation,·|¸Ü
plane,¥­­±
mama,¶ý¶ý
yesterday,¬Q¤Ñ
lied,»¡ÁÀ
quick,§Ö
lately,³Ìªñ
stuck,¥d¦í
lovely,¥i·R
security,¦w¥þ
report,³ø§i
Barbara,ªÝªÝ©Ô
difference,°Ï§O
rid,Â\²æ
tv or TV,¹qµø©Î¹qµø
Adam,¨È·í
store,°Ó©±
she'd,´×
bag,³U
Mike,³Á§J­·
bought,¶R
ball,²y
single,³æ
Kevin,³Í¤å
doubt,ÃhºÃ
listening,Å¥¤O
major,­«¤jªº
walking,¨B¦æ
cops,Äµ¹î
blue,ÂÅ¦â
deep,²`
dangerous,¦MÀI
Buffy,¤Úµá
park or Park,¤½¶é©Î¤½¶é
Chloe,§J¬¥¥ì
Rafe,¹p¤Ò
shh,¼N
record,°O¿ý
lord,¥D
Erica,®J¨½¥d
moved,²¾°Ê
join,¥[¤J
key,Áä
captain,¶¤ªø
card,¥d
crime,¥Ç¸o
willing,Ä@·N
return,ªð¦^
walked,¨«
guilty,¦³¸o
Brenda,¥¬­Û¹F
likes,³ßÅw
fighting,¾Ô°«
difficult,Ãø
soul,ÆF»î
joke,ª±¯º
service,ªA°È
magic,Å]ªk
favorite,³ß·R
uncle,¨û¨û
promised,³\¿Õ
public,¤W¥«
bother,·Ð
island,®q
Jim,¦N©i
seriously,»{¯u¦a
cell,²Ó­M
lead,¹]
knowing,·|¤ß
broken,¯}¸H
advice,©¾§i
somehow,¤£ª¾¦ó¬G
paid,¤ä¥I
Blair,¥¬µÜº¸
losing,¿é²y
push,±À
helped,À°§U
killing,¿Ñ±þ
usually,¥­®É
earlier,«e
boss,¦ÑÁó
Laura,³Ò©Ô
liked,³ßÅw
doc,DOC
rules,³W«h
Elizabeth,¥ìÄR²ï¥Õ
Sabrina,ÂÄ¥¬ÄR®R
summer or Summer,®L¤Ñ©Î®L©u
ex,«e
cop,Äµ¹î
learned,¾Ç¨ì¤F
thirty,¤T¤Q
risk,­·ÀI
letting,¥X¯²
Phillip,µá§Q´¶
officer,©x
ridiculous,¯îÂÕ
support,¤ä«ù
afternoon,¤U¤È
Eric,®J¨½§J
born,¥X¥Í
dreams,¹Ú
apologize,¹Dºp
seat,®y¦ì
nervous,ºò±i
across,¾î¹L
song,ºq¦±
Olivia,¶ø§Qºû¨È
charge,¦¬¶O
patient,±wªÌ
boat,²î
how'd,§A«ç»ò
brain,¸£
hide,ÁôÂÃ
detective,°»±´
Aaron,¨È­Û
Kendall,ªÖ¼wº¸
general,¤@¯ë
Tom,´ö©i
planning,³W¹º
nine,¤E
huge,¥¨¤j
breakfast,¦­À\
horrible,¥i©È
age,¦~ÄÖ
awful,¥i©È
pleasure,¼Ö½ì
driving,¾r¾p
picked,±ÄºKªº
system,¨t²Î
sell,½æ
quit,©ñ±ó
apparently,ÅãµM¦a
dying,««¦º
notice,ª`·N
Josh,ª±¯º
congratulations,¯¬¶P
faith,«H¥õ
Simon,¦è»X
gay,¦P©ÊÅÊªÌ
ho or Ho,»¨©ÎHo
month,¤ë
visit,³X°Ý
Hal,«¢º¸
could've,¥i¯à¤w¸g
c'mon,¨Ó§a
aw,AW
Edmund,®J¼w»X
Brady,¥¬¹p­}
letter,«H¥ó
decide,¨M©w
American,¬ü°ê
double,Âù
Troy,¯S¬¥¥ì
sad,¶Ë¤ß
press,«ö
forward,«e¾W
fool,¶Ì¤l
showed,Åã¥Ü
smell,»D
seemed,¦ü¥G
Mary,º¿ÄR
spell,«÷¼g
Courtney,¦Ò¯S¥§
memory,°O¾Ð
Mark or mark,¼Ð°O©Î¼Ð°O
pictures,¹Ï¤ù
Paris,¤Ú¾¤
slow,ºC
Joe or joe,³ì©Î³ì
Tim,¸¦©i
seconds,¬í
hungry,°§¾j
board,ªO
position,¦ì¸m
hearing,Å¥¤O
Roz,Ã¹¯÷
kitchen,¼p©Ð
ma'am,¤Ò¤H
Bob or bob,Àj«k©ÎÀj«k
force,¤O
fly,­¸
during,¤¤
space,ªÅ¶¡
realized,¹ê²{
experience,¸gÅç
kick,½ð
others,¨ä¥L
grab,§ì
mother's,¥À¿Ë
P.,P.
Sharon,¨FÀs
discuss,°Q½×
third,²Ä¤T
responsible,¥DºÞ
Jennifer,¸â©g¥±
Philip,µá§Q´¶
fat,¯×ªÕ
reading,¾\Åª
idiot,¥Õ·ö
yep,¬Oªº
rock,©¥¥Û
rich,Â×´I
suddenly,¬ðµM
agent,¥N²z¤H
bunch,§ô
destroy,¯}Ãa
bucks,¶¯³À
shoes,¾c
scene,²{³õ
peace,©M¥­
arms,ªZ¾¹
demon,´cÅ]
Diane,ÂL¦w
Bridget,¥¬¨½©_¯S
Brad,¥¬©Ô¼w
low,§C
Livvie,Livvie
consider,¦Ò¼{
medical,Âå
incredible,Ãø¥H¸m«H
witch,§Å±C
er,§c
drunk,¾K
attorney,«ß®v
Charlie,¬d²z
tells,§i¶D
knock,ºV
Karen,¥d­Û
ways,¤èªk
eh,°Ú
belle or Belle,¦ÊÄR¦ÊÄR©Î
cash or Cash,²{ª÷©Î²{ª÷
gives,µ¹
department,³¡ªù
Skye,´µ³Í
turns,°é
keeps,«O«ù
beer,°à°s
jealous,§ª
drug,ÃÄ«~
Molly,²ö²ú
sooner,¦­
cares,ºÞ¥¦
extra,ÃB¥~
tea,¯ù
won,Áú¤¸
attack,§ðÀ»
ground,¦a­±
whose,½Öªº
outta,¥¢±±
Kyle,³Íº¸
L.,L.
weekend,¶g¥½
matters,¨Æ¶µ
wrote,¼g
type,Ãþ«¬
father's,¤÷¿Ëªº
Alex,¨È¾ú§J´µ
gosh,¤Ñ­þ
opportunity,¾÷·|
king,¤ý
impossible,¤£¥i¯à
machine,¾÷
waste,®ö¶O
th,¤é
pretend,°²¸Ë
named,©R¦W
danger,¦MÀI
wall,¾À
Liz,§Q¯÷
Ian,¥ì®¦
Henry,¦ë§Q
jump,¸õ
eating,¦Y
proof,ÃÒ©ú
complete,§¹¦¨
slept,ºÎ
arrest,¶e®·
star,¬P
Phyllis,µá§Q´µ
Mac,Ä«ªG¹q¸£
breathe,©I§l
perfectly,§¹¬ü
warm,·x
pulled,©Ô
Maria,º¿ÄR¨È
twice,¨â¦¸
easier,§ó»´ÃP
killer,¥û¤â
goin',¶i¥h'
dating,¬ù·|
suit,¾A¦X
romantic,®öº©
drugs,¬r«~
comfortable,¦Û¦b
Isaac,¦ãÂÄ§J
powers or Powers,Åv¤O©ÎÅv¤O
finds,»{©w
checked,ÀË¬d
fit,¾A¦X
divorce,Â÷±B
begin,¶}©l
ourselves,§Ú­Ì¦Û¤v
closer,±µªñ
ruin,¼o¼V
although,ÁöµM
smile,·L¯º
laugh,¯º
fish,³½
Abigail,ªü¤ñ»\º¸
treat,¹ï«Ý
god's,¯«
Anna,¦w®R
what'd,¤°»ò¤F
Simone,¦è»X®R
Amber,µ[¬Ä¦â
guy's,³Ã¥ë
otherwise,°£¦¹¥H¥~
excited,¿³¾Ä
mail,¶l¥ó
hiding,ÁôÂÃ
green or Green,ºñ¦â©Îºñ
stole,°½¤F
Pacey,¨Ø¦è
noticed,¹w§i
Liza,ÄR²ï
fired,¸Ñ¹µ
Daphne,Í´
Whitney,´f¯S¥§
excellent,Àu¨qªº
lived,¥Í¬¡
bringing,¨Ï
pop,¬y¦æ
piper or Piper,§j²Ã©Î¬£¬Ä
bottom,©³³¡
note,ª`·N
sudden,¬ðµM
church,±Ð·|
bathroom,¯D«Ç
flight,­¸¦æ
Chad or chad,¥E±o©Î¥E±o
la or LA,ùS
honestly,¦Ñ¦Ñ¹ê¹ê
sing,°Û
Katie,³Í¸¦
foot,¸}¤X¤l
games,¹CÀ¸
glass,¬Á¼þ
N.,N.
Mitch,¦Ì©_
remind,´£¿ô
bank,»È¦æ
Rory,Ã¹¸Ì
charges,¦¬¶O
witness,¨£ÃÒ¤H
finding,µo²{
places,¦a¤è
tree,¾ð
dare,´±
hardly,´X¥G¤£
that'll,¨º·|
U.,U.
interest,§Q¯q
steal,°½
princess,¤½¥D
silly,·MÄø
contact,ÁpÃ´
teach,±Ð¾É
shop,©±
plus,¥[
colonel,³°­x¤W®Õ
fresh,·sÂA
trial,¼f°T
roll,ºu
art,ÃÀ³N
reach,¹F¨ì
heh,¼K¼K
dirty,Å¦
choose,¿ï¾Ü
emergency,«æ
dropped,¤U­°
butt,§¾ªÑ
credit,«H¥Î
obvious,©úÅã
cry,­ú
locked,Âê©w
Larry,©Ô¨½
loving,·R¤ß
positive,¥¿
nuts,°íªG
agreed,¦P·N
Prue,´¶¾|
price or Price,»ù®æ©Î»ù®æ
goodbye,¦A¨£
condition,°·±d¡^ª¬ªp
guard,¦u½Ã
fuckin',¥L¶ýªº'
grow,¼Wªø
cake,³J¿|
mood,¤ß±¡
dad's,ª¨ª¨ªº
Bianca,¤ñ¦w¥d
total,Á`
crap,ÂY»ë¤l
crying,­ú¤F
Paige,¨Ø©_
K. or 'k,K.©Î¡§K
belong,ÄÝ©ó
lay,¥~¦æ
partner,¹Ù¦ñ
trick,©Û
pressure,À£¤O
ohh,³á
arm,Áu
dressed,¬ïµÛ
cup,ªM¤l
lies,ÁÀ
bus,Á`½u
taste,¨ý¹D
neck,ÀV³¡
south,«n
something's,ªF¦èªº
nurse,Å@¤h
raise,´£°ª
land,¤g¦a
cross,¥æ¤e
lots,¦a¬q
mister,¥ý¥Í
carry,Äâ±a
group,²Õ
whoever,½Ö
Eddie,®J­}
drinking,³Ü
they'd,¥L­Ì·|
breaking,¯}Ãa
file,¤å¥ó
lock,Âê
computer,¹q¸£
yo,³é
Rebecca,ÄR¨©¥d
wine,¸²µå°s
closed,Ãö³¬
writing,¼g§@
spot,ÂI
paying,¥I´Ú
study,¬ã¨s
asleep,ºÎµÛ
man's,¨k¤Hªº
turning,¨®«d
legal,ªk«ß
justice,¥¿¸q
Viki,VIKI
Chandler,¿ú¼w°Ç
bedroom,ª×«Ç
shower,²O¯D
Nikolas,¥§¥j©Ô´µ
camera,¬Û¾÷
fill,¶ñ
reasons,­ì¦]
forty,¥|¤Q
bigger,¤j
nope,¤£
keys,«öÁä
Starr,´µ¶ðº¸
breath,©I§l
doctors,Âå¥Í
pants,¿Ç¤l
freak,©Çª«
level,¤ô¥­
French,ªk°ê
movies,¹q¼v
gee,«u§r
Monica,²ö©g¥d
action,¦æ°Ê
area,°Ï
folks,¶m¿Ë
Steve,¥v¸¦¤Ò
cream,¥¤ªo
ugh,°Ú
focus,µJÂI
wild,³¥¥Í
truly,¯u
Jill or jill,¦Nº¸©Î¦Nº¸
desk,¥x
convince,»¡ªA
client,«È¤á
threw,¥µ
Taylor,®õ°Ç
band,±a
hurts,¶Ë®`
Charles,¬dº¸´µ
spending,¶}¤ä
Neil,¥§º¸
field or Field,²{³õ©Î²{³õ
allow,¤¹³\
grand,²±¤j
answers,µª®×
shirt,Å¨­m
chair,´È¤l
Christ or christ,°ò·þ©Î°ò·þ
allowed,¤¹³\
rough,²Ê
doin,§ù¦w
sees,¬Ý¨ì
government,¬F©²
Harry,±°¹Ü
ought,À³¸Ó
empty,ªÅ
round,¦^¦X
lights,¿O¤õ
insane,ºÆ
hall or Hall,¤jÆU©Î¤jÆU
hat,´U¤l
bastard,²V³J
wind,­·
shows,¸`¥Ø
aware,ª¾¹Dªº
dealing,¥æ©ö
pack,¥]
meaning,§t¸q
flowers,ªá¥c
tight,ºò
hurting,¶Ë®`
ship,²î
subject,¾Ç¬ì
guest,¨Ó»«
chicken,Âû
pal,ªB¤Í
match,¤ñÁÉ
Elaine,¥ìµÜ®¦
arrested,³Q®·
sun,¤Ó¶§
Rachel,¹p¤Áº¸
Salem,¶ë°Ç©i
confused,§x´b
surgery,¤â³N
expecting,´Á«Ý
deacon,°õ¨Æ
Colleen,¬ìµY
unfortunately,¤£©¯
goddamn,¸Ó¦º
lab,¹êÅç«Ç
passed,³q¹L
bottle,²~¤l
beyond,¥~
whenever,¨C·í
pool,¦À
opinion,·N¨£
naked,»r
held,«O«ù
common,¦@¦P
starts,±Ò°Ê
jerk,²V³J
falling,¸¨¤U
played,µo´§
necessary,¥²­n
barely,¶È¶È
dancing,¸õ»R
health,°·±d
tests,´ú¸Õ
copy,½Æ»s
Keri,§J¨½
video,µøÀW
cousin,ªí©j
planned,­p¹º
Vanessa,¤Z©g²ï
dry,°®Àê
ahem,°Ú«¢
twelve,¤Q¤G
simply,¥u¬O
Tess,­aµ·
Scott,´µ¬ì¯S
skin,¥Ö½§
often,¸g±`
English,­^»y
fifteen,¤Q¤­
spirit,ºë¯«
speech,¨¥»y
names,¦W
issue,°ÝÃD
orders,­q³æ
nah,Ã¹
final,³Ì«á
Michelle,¦Ì·²º¸
America,¬ü°ê
St.,¸t
results,µ²ªG
code,½X
Ned,´µ¤º¼w
Bonnie,¨¹©g
W.,W.
believed,¬Û«H
complicated,½ÆÂø
umm,¯Q©i
research,¬ã¨s
nowhere,µL³B
escape,°k¶h
biggest,³Ì¤j
restaurant,À\ÆU
page or Page,­¶­±©Î­¶­±
usual,³q±`
burn,¿N¶Ë
Chicago,ªÛ¥[­ô
address,¦a§}
within,¤º
someplace,¬Y­Ó¦a¤è
screw,À¾
everywhere,¨ì³B
train,°ö¾i
regret,«á®¬
goodness,µ½¨}
mistakes,¿ù»~
heaven or Heaven,¤Ñ°óÁÙ¬O¤Ñ°ó
details,²Ó¸`
responsibility,³d¥ô
suspect,ºÃ¦ü
corner,¨¤
hero,­^¶¯
dumb,°×
terrific,¤F¤£°_
Peter,©¼±o
mission,¥ô°È
further,¶i¤@¨B
Amy,¦ã¦Ì
gas,¥[ªo¯¸
whoo,³á
hole,¤Õ
memories,¦^¾Ð
o'clock,ÂI
Brian,¥¬¿à®¦
truck,¥d¨®
following,¥H¤U
ended,µ²§ô
nobody's,¥ô¦ó¤Hªº
Margo,°¨¤à
teeth,¤ú
ruined,·´¤F
split,¤Àµõ
Reva,¹p¥Ë
bear,ºµ
airport,­¸¾÷³õ
smoke,©â·Ï
Stenbeck,´µ©Z§B§J
older,ÂÂªº
liar,»¡ÁÀªÌ
horse,°¨
showing,Åã¥Ü
van or Van,³f¨®©ÎÄÑ¥]¨®
project,¶µ¥Ø
cards,µP
desperate,®í¦º
themselves,¥L­Ì¦Û¤v
pathetic,¥i¼¦
damage,·l¶Ë
spoke,¿ç
quickly,«Ü§Ö
scare,À~
Marah,º¿©Ô
G.,G¡C
beach,®üÅy
Mia,¦ÌÔÕ
brown or Brown,´Ä¦â©Î´Ä
afford,µ¹¤©
vote,§ë²¼
settle,¸Ñ¨M
gold,ª÷
re or 're,¦A©ÎªÌ¡§­«
mentioned,´£¨ì
ed or -ed,½s¿è©Î-ed
due,À³¦³
passion,±¡
Y. or -y,Y.©Î-y
stayed,¦í
rule,³W«h
Friday,¬P´Á¤­
checking,ÀË¬d
tie,»â±a
hired,¹µ¥Î
upon,¤W
rush or Rush,¥^¦£©Î©Ô¤°
Tad,¶ð¼w
heads,ÀY
concern,Ãö¤ß
blew,¦ÛÃz
natural,¦ÛµM
Alcazar,«°³ù
Kramer,§JµÜÀq
champagne,­»Âb°s
connection,³s±µ
tickets,ªù²¼
Kate,³Í¯S
finger,¤â«ü
happiness,©¯ºÖ
form,§Î¦¨
saving,«O¦s
kissing,±µ§k
Martin,°¨¤B
hated,«ë
personally,¿Ë¦Û
suggest,«ØÄ³
prepared,·Ç³Æ
build,«Ø¥ß
leg,»L
onto,¨ì
leaves,¾ð¸­
downstairs,¼Ó¤U
ticket,²¼
it'd,¥¦·|
taught,±Ð
loose,²¨ÃP
holy,¸t
staff,­û¤u
sea,®ü
Asa,§@¬°¤@­Ó
planet,¦æ¬P
duty,¸q°È
convinced,¬Û«H
throwing,§ëÂY
defense,¨¾¿m
Harvey,«¢ºû
kissed,¿Ë§k
legs,»L
Dave,À¹¤Ò
according,®Ú¾Ú
loud,ÅT
Andy,¦w­}
Jess,ÏEÂê
Saturday,¬P´Á¤»
Colin,¬ìªL
bright or Bright,©ú«G©Î©ú«G
Amanda,ªü°Ò¹F
Fraser,¥±¹p¿A
F.,F¡C
babies,À¦¨à
army,­x¶¤
where'd,­þ¨à
warning,Äµ§i
miracle,©_ÂÝ
carrying,©Ó¸ü
flying,­¸¦æ
Caleb,­{°Ç
blind,ª¼
queen,¤k¤ý
ugly,Áà­®
shopping,ÁÊª«
hates,«ë
someone's,§O¤Hªº
Seth,ÁÉ´µ
monster,©Çª«
sight,µø¤O
vampire,§l¦å°­
Rosanna,¤ý»ï
bride,·s®Q
coat,¶î¼h
account,±b¤á
states,ª¬ºA
clearly,©ú½T¦a
celebrate,¼y¯¬
Nicole,©g¥i
wanting,§Æ±æ
Allison,¨Î¨Î
add,¥[
moon,¤ë«G
Forrester,Forrester¤½¥q
lips,¼L®B
custody,«OºÞ
center,¤¤¥¡
screwed,Á³¯¾³s±µ
buying,ÁÊ¶R
size,¤Ø¤o
toast,¯NÄÑ¥]
thoughts,«ä©À
Isabella,¥ì²ï¨©©Ô
student,¾Ç¥Í
stories,¬G¨Æ
however,µM¦Ó
stars,©ú¬P
reality,²{¹ê
Jimmy or jimmy,¦N¦Ì©Î³Á
birth,¤À®Y
Lexie,¤Ö¤F¨Ç
attitude,ºA«×
advantage,ÀuÂI
grandfather,¯ª¤÷
Sami,ÂÄ¦Ì
sold,¥X°â
opened,¥´¶}
Lily,¦Ê¦X
grandma,¥¤¥¤
beg,¨D
Edward,·R¼wµØ
changes,ÅÜ¤Æ
Diego,­¡¤à
Cole,ªoµæ
someday,¤é«á
grade,¦~¯Å
cheese,°_¥q
Kenny,ªÖ¥§
Bobby or bobby,Àj¤ñÀj¤ñ©Î
pizza,¤ñÂÄ
brothers,¥S§Ì
X. or x,¤Q¡A©Îx
signed,Ã±
bird,³¾
ahh,°Ú
marrying,µ²±B
powerful,±j¤j
grown,ªø¤jªº
grandmother,¯ª¥À
fake,°²
opening,¶}½L
Sally,¥XÀ»
Stephanie,´µ¸¦ªâ©g
expected,¹w´Á
eventually,²×©ó
ideas,«ä¸ô
exciting,¦©¤H¤ß©¶
covered,ÂÐ»\
Parker,©¬§J
de,¼w
familiar,¼ô
bomb,¬µ¼u
bout,¦^¦X
television,¹qµø
harmony or Harmony,©M¿Ó©Î©M¿Ó
color,ÃC¦â
heavy,­«
schedule,®É¶¡ªí
records,°O¿ý
H.,H¡C
dollar,¬ü¤¸
capable,¯à
numbers,¼Æ¦r
Toby,¦«¤ñ
practically,´X¥G
including,¥]§t
correct,¥¿½T
clue,½u¯Á
forgotten,§Ñ°O¤F
immediately,¥ß§Y
appointment,¬ù©w
social,ªÀ·|
nature,©Ê½è
?,?
deserves,­È±o
west or West,¦è©Î¦è
Blake,¥¬µÜ§J
teacher,¦Ñ®v
threat,«Â¯Ù
Frankie,¥±Äõ°ò
bloody,¦å¸{
lonely,©t¿W
shame,®¢°d
Brittany,¥¬¦C¶ð¥§
local,¥»¦a
jacket,§¨§J
hook,¹_
destroyed,¾P·´
scary,®`©È
loser,¥¢±ÑªÌ
investigation,½Õ¬d
above,¥H¤W
Jamal,¸ë°¨º¸
invite,ÁÜ½Ð
merry,§Ö¬¡
port,´ä¤f
precious,¬Ã¶Q
lesson,½Ò
Roy,Ã¹¥ì
criminal,¦D¨Æ
growing,¥Íªø
caused,³y¦¨
victim,¨ü®`ªÌ
professor,±Ð±Â
followed,¨ä¦¸
funeral,¸®Â§
dean,°|ªø
considering,¦Ò¼{
burning,¿U¿N
harder,§óÃø
loss,¥¢§Q
view,µø¹Ï
Gia,GIA
beauty,¬ü¤k
sisters,©j©f
everybody's,¤j®aªº
several,¤@¨Ç
pushed,±À
Nicholas,¥§¥j©Ô´µ
written,®Ñ­±
somebody's,¬Y¤Hªº
shock,¥ð§J
pushing,±À°Ê
heat,¼ö
chocolate,¥©§J¤O
greatest,³Ì¤j
Holden,ÀNº¸µn
miserable,ºG
Corinthos,Corinthos
nightmare,´c¹Ú
energy,¯à·½
brings,±a¨Ó
Zander,®á¼wº¸
character,¦r²Å
famous,µÛ¦W
enemy,¼Ä¤H
crash,ºò«æ
chances,¾÷·|
sending,µo¥X
recognize,»{ÃÑ
healthy,°·±d
boring,µL²á
feed,¹}®Æ
engaged,­q±B
Sarah,²ï©Ô
percent,¦Ê¤À
headed,·í®a
Brandon,¥¬Äõµn
treated,ªvÀø
purpose,¥Øªº
north or North,¥_©M¥_
knife,¤M
drag,©ì°Ê
San,¸t
fan,­·®°
badly,ºG
speed,³t«×
Santa,¸t½Ï¦Ñ¤H
hire,¸u½Ð
curious,¦n©_
paint,¶î®Æ
pardon,³j§K
Jackson,³Ç§J»¹
built,¤º¸m
behavior,¦æ¬°
closet,¾ÀÃo
candy or Candy,¿}ªG©Î¿}ªG
Helena,®ü­Û®R
warn,Äµ§i
gorgeous,µØÄR
post,±^¦ì
